"MasterUID
ROP3_AGWM CountryCode_PEID",CrossReference,WAGF Region,WAGF BLOCK,WAGF MEMBER,WAGF_UID,IMB UID,FID,PEID,PGID,Status,Name,NmDisp,NmAlt,Ctry,ROG,ISOalpha3,Regn,RegnSub,AffCd,Aff,PeopleDesc,LocationDe, Pop ,PopCls,EvngLvl,CongExst,Plnting,EngStat,GSEC,GSECbrf,GSEClng,SPI,SPIdesc,ROL,Lang,LangFamily,ROR,Rlgn,Rlgn_AGWM Region,AGWM Religion Breakdown,RORdesc,ROR3,RlgnBs,ROR4,RlgnDiv,ROP3,PeopleID3,PplNm,ROP25,Ethne,ROP2,PplClstr,ROP1,Affbloc,Bible,Jesus,Radio,Gospel,Audio,Stories,ResTot,LvlBible,YrPub,PicCrdt,PicURL,Photo,Indigenous,Latitude,Longitude,Location,
101987_4506_42217,,Latin America & Caribbean,Brazil,No,4506_Brazil,101987_Brazil,11221,42217,PG042217,Active,Chamacoco,Chamacocos,"Ishiro, Jeywo",Brazil,BR,BRA,Americas,South America,AG800,AMP,an indigenous community of Brazil, ,40,"less than 10,000",No Known Evangelicals,No,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,ceg,Chamacoco,Zamucoan,E,Ethnoreligion,Ethnoreligion_Latin America Caribbean,Animism,"ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.",E,Ethnoreligion, , ,101987,11296,Chamacoco,301651,Chamacoco,C0201,South American Indigenous,A007,Latin-Caribbean Americans,Available,Available,Not Available,Available,Available,Not Available,4, , ,<div style=[font-size: 0.8em]>No photo available </div>,https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg,N,Indigenous,-21.583333,-57.833333,"-21.583333,-57.833333",
108697_4424_43716,,Latin America & Caribbean,Andean,Yes,4424_Venezuela,108697_Venezuela,1623,43716,PG043716,Active,Sape,Sape,"Kaliána, Chirichano, Caliana, Kariana",Venezuela,VE,VEN,Americas,South America,AG800,AMP,an indigenous community of Venezuela,Bolívar: 3 small settlements on Karuna and Paragua rivers,15,"less than 10,000",No Known Evangelicals,No,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,shb,Ninam,Yanomaman,E,Ethnoreligion,Ethnoreligion_Latin America Caribbean,Animism,"ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.",E,Ethnoreligion, , ,108697,,Sape,307254,Sape,C0201,South American Indigenous,A007,Latin-Caribbean Americans,Available,Available,Not Available,Available,Available,Not Available,4, , ,<div style=[font-size: 0.8em]>No photo available </div>,https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg,N,Indigenous,4.9447,-63.23631,"4.9447,-63.23631",
110919_4408_16293,110919_4408_16293,Latin America & Caribbean,Andean,Yes,4408_Colombia,110919_Colombia,6574,16293,PG016293,Active,Yagua,Yagua, ,Colombia,CO,COL,Americas,South America,AG800,AMP,an indigenous community of Colombia, ,1000,"less than 10,000",Less than 2%,No,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,yad,Yagua,Yaguan,E,Ethnoreligion,Ethnoreligion_Latin America Caribbean,Animism,"ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.",E,Ethnoreligion, , ,110919,15942,Yagua,308895,Yagua,C0201,South American Indigenous,A007,Latin-Caribbean Americans,Available,Not Available,Not Available,Available,Available,Not Available,3, , ,"<div style=[font-size: 0.8em]>Photo courtesy of <a href=""""https://www.joshuaproject.net"""">Joshua Project</a>.</div> By Mike Tabor",https://joshuaproject.net/assets/media/profiles/photos/p15942.jpg,Y,Indigenous,-2.3121,-72.0864,"-2.3121,-72.0864",
106868_4408_16262,106868_4408_16262,Latin America & Caribbean,Andean,Yes,4408_Colombia,106868_Colombia,7543,16262,PG016262,Active,Muinane,Muinane, ,Colombia,CO,COL,Americas,South America,AG800,AMP,an indigenous community of Colombia,"Amazonas department: Puerto Santander municipality, south of Caquetá river; Caqueta department: between Caqueta and Yari rivers",550,"less than 10,000",Less than 2%,No,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,bmr,Muinane,Witotoan,E,Ethnoreligion,Ethnoreligion_Latin America Caribbean,Animism,"ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.",E,Ethnoreligion, , ,106868,13856,Muinane,305669,Muinane,C0201,South American Indigenous,A007,Latin-Caribbean Americans,Available,Not Available,Not Available,Available,Available,Not Available,3,New Testament,2009,<div style=[font-size: 0.8em]>No photo available </div>,https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg,N,Indigenous,-0.712603,-72.403501,"-0.712603,-72.403501",
103023_2110_110,103023_2110_110,Europe,North Europe,Yes,2110_Finland,103023_Finland,4560,110,PG000110,Active,Finnish Lapp,Finnish Lapp,"Saamelainen, Saame, Lapp, Finnish & Saami",Finland,FI,FIN,Europe,Northern Europe,AG100,EURO,an ethnolinguistic community of Finland,Lapland region: mostly Utsjoki border town area between Lake Inari and Norway border,9000,"less than 10,000",Less than 2%,Yes,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,fin,Finnish,Uralic,E,Ethnoreligion,Ethnoreligion_Europe,Secular,"ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.",E,Ethnoreligion, , ,103023,11206,"Saami, Finnish",307083,Saami,C0074,"Finno-Ugric, Saami",A003,Eurasian Peoples,Available,Available,Available,Available,Available,Not Available,5,Bible,1995,<div style=[font-size: 0.8em]>No photo available </div>,https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg,N,Indigenous,69.42289,27.86583,"69.42289,27.86583",
103768_4700_912,103768_4700_912,Europe,East Europe,Yes,4700_Russia,103768_Russian Federation,4019,912,PG000912,Active,High Mari,Mountain Mari, ,Russian Federation,RS,RUS,Europe,Eastern Europe,AG100,EURO,a language of Russia, ,30000,"25,000 - 49,999",Less than 2%,Yes,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,mrj,Hill Mari,Uralic,E,Ethnoreligion,Ethnoreligion_Eurasia,Animism,"ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.",E,Ethnoreligion, , ,103768,12093,"Mari, Mountain",305209,Mari (Russia),C0073,Finno-Ugric,A003,Eurasian Peoples,Available,Not Available,Not Available,Not Available,Available,Not Available,2,New Testament,2014,"<div style=[font-size: 0.8em]>Photo courtesy of <a href=""""https://www.joshuaproject.net"""">Joshua Project</a>.</div> By Anonymous",https://joshuaproject.net/assets/media/profiles/photos/p12093.jpg,Y,Indigenous,56.21256,46.40474,"56.21256,46.40474",
106281_4700_48828,106281_4700_48828,Europe,East Europe,Yes,4700_Russia,106281_Russian Federation,4608,48828,PG048828,Active,Mansi,Mansi,Vogul (obs),Russian Federation,RS,RUS,Europe,Eastern Europe,AG100,EURO,an ethnolinguistic community of Russia, ,12500,"10,000 - 24,999",No Known Evangelicals,No,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,mns,Mansi,Uralic,ESM,Ethnoreligion - Shamanism,Ethnoreligion - Shamanism_Eurasia,Animism,"shamanism, a practice that involves reaching an altered state of consciousness in order to interact with the spirit world.",E,Ethnoreligion,ESM,Shamanism,106281,13517,Mansi,305157,Mansi,C0073,Finno-Ugric,A003,Eurasian Peoples,Available,Not Available,Not Available,Not Available,Available,Not Available,2,Selections,2016,"<div style=[font-size: 0.8em]>Photo courtesy of <a href=""""https://www.joshuaproject.net"""">Joshua Project</a>.</div> By <a href=""""https://flickr.com/photos/ugra/181457299"""">Irina Kazanskaya - Flickr</a>",https://joshuaproject.net/assets/media/profiles/photos/p13517.jpg,Y,Indigenous,64.41179,61.34397,"64.41179,61.34397",
105877_4700_925,105877_4700_925,Europe,East Europe,Yes,4700_Russia,105877_Russian Federation,12054,925,PG000925,Active,Low Mari,Meadow Mari, ,Russian Federation,RS,RUS,Europe,Eastern Europe,AG100,EURO,a language of Russia, ,548000,"250,000 - 499,999",Less than 2%,Yes,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,mhr,Meadow Mari,Uralic,E,Ethnoreligion,Ethnoreligion_Eurasia,Animism,"ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.",E,Ethnoreligion, , ,105877,13118,"Mari, Meadow",305209,Mari (Russia),C0073,Finno-Ugric,A003,Eurasian Peoples,Available,Available,Not Available,Not Available,Available,Not Available,3,New Testament,2020,"<div style=[font-size: 0.8em]>Photo courtesy of <a href=""""https://www.joshuaproject.net"""">Joshua Project</a>.</div> By Anonymous",https://joshuaproject.net/assets/media/profiles/photos/p13118.jpg,Y,Indigenous,55.9709,54.8065,"55.9709,54.8065",
107458_2140_561,107458_2140_561,Europe,North Europe,No,2140_Sweden,107458_Sweden,8861,561,PG000561,Active,Northern Saami,Northern Saami,"Sami, Sapmi",Sweden,SW,SWE,Europe,Northern Europe,AG100,EURO,an indigenous community of Sweden, ,6000,"less than 10,000",No Known Evangelicals,No,No Churches Planted,Unengaged,1,"Less than 2% Evangelical, No Active CP Activity","this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years",0,Unengaged and Unreached,sme,North Saami,Uralic,N,Unaffiliated,Unaffiliated_Europe,Other,"unaffiliated, a category that includes atheists, agnostics, and others who do not identify with a particular world religion.",N,Unaffiliated, , ,107458,14029,"Saami, Northern",307083,Saami,C0074,"Finno-Ugric, Saami",A003,Eurasian Peoples,Available,Not Available,Not Available,Available,Available,Not Available,3, , ,"<div style=[font-size: 0.8em]>Photo courtesy of <a href=""""https://www.joshuaproject.net"""">Joshua Project</a>.</div> By Paulharding00 - Shutterstock",https://joshuaproject.net/assets/media/profiles/photos/p14029.jpg,Y,Indigenous,68.4142,22.3514,"68.4142,22.3514",
101883_4408_16224,,Latin America & Caribbean,Andean,Yes,4408_Colombia,101883_Colombia,3164,16224,PG016224,Active,Carabayo,Carabayo,Amazonas Macusa,Colombia,CO,COL,Americas,South America,AG800,AMP,an indigenous community of Colombia,Amazonas department: halfway between San Bernardo and Pure rivers. At least 3 long houses,225,"less than 10,000",No Known Evangelicals,No,No Churches Planted,Unengaged,0,"No Evangelicals, Churches or Resources","there are no evangelical Christians or churches among this people group and there is no access to evangelical print, audio, visual or human resources",0,Unengaged and Unreached,cby,Carabayo,Unclassified,EAN,Ethnoreligion - Animism,Ethnoreligion - Animism_Latin America Caribbean,Animism,"animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.",E,Ethnoreligion,EAN,Animism,101883,11096,Carabayo,301589,Carabayo,C0201,South American Indigenous,A007,Latin-Caribbean Americans,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0, , ,<div style=[font-size: 0.8em]>No photo available </div>,https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg,N,Indigenous,-1.8584,-69.789,"-1.8584,-69.789",
